year,team,win_prob,is_winner
1934,Italy,0.759237130032655,1
1934,Austria,0.15227606184416353,0
1934,Brazil,0.14569841183538396,0
1934,Argentina,0.13672946156979607,0
1934,Germany,0.061568654194582496,0
1934,Spain,0.058904302863986506,0
1934,Czech Republic,0.05644715765269126,0
1934,France,0.044054188221594404,0
1934,Hungary,0.03587150868427031,0
1934,Sweden,0.03351376693529967,0
1934,Switzerland,0.033287943123157006,0
1934,Belgium,0.02955926731973467,0
1934,Netherlands,0.029242006619514916,0
1934,Romania,0.02601256449041315,0
1934,Egypt,0.022089484405650183,0
1938,France,0.6805136909098805,0
1938,Italy,0.18446283277711645,1
1938,Germany,0.09326120063448744,0
1938,Hungary,0.06046079836909519,0
1938,Brazil,0.0382924677088415,0
1938,Netherlands,0.020525222091959713,0
1938,Poland,0.01548260907142398,0
1938,Sweden,0.013443137660379925,0
1938,Switzerland,0.012205595414670478,0
1938,Norway,0.010581551915837522,0
1938,Czech Republic,0.010500857010069826,0
1938,Belgium,0.009077030926258708,0
1938,Cuba,0.006372087495198657,0
1938,Romania,0.006306381136291163,0
1950,Italy,0.9975363159079851,0
1950,Uruguay,0.8568251050228466,1
1950,Brazil,0.7319851739076638,0
1950,England,0.14966449215262378,0
1950,Spain,0.025267988293052348,0
1950,Sweden,0.006503349154575401,0
1950,Serbia,0.005360537991748423,0
1950,France,0.00531111923218687,0
1950,Chile,0.0044401389960011285,0
1950,Mexico,0.003677883473186736,0
1950,Switzerland,0.00281366343409929,0
1950,Paraguay,0.0021711946800637974,0
1950,Bolivia,0.0014059228061701844,0
1954,Uruguay,0.9290064498030202,0
1954,Italy,0.4073847373006439,0
1954,Germany,0.10970655298069083,1
1954,Switzerland,0.039376592995669826,0
1954,Hungary,0.03273373625801244,0
1954,England,0.02535287340356557,0
1954,Brazil,0.024466163976441628,0
1954,Scotland,0.021933577174426306,0
1954,Turkey,0.01866741749741485,0
1954,Austria,0.008145468095539399,0
1954,South Korea,0.006701125172807157,0
1954,Czech Republic,0.006639980172718423,0
1954,Mexico,0.0016789486802867115,0
1954,Serbia,0.0015089327461849562,0
1954,France,0.0014107255967355026,0
1954,Belgium,0.0009831545954934134,0
1958,Germany,0.9764546937497447,0
1958,Argentina,0.191520331377315,0
1958,Russia,0.15981503586559134,0
1958,Wales,0.12257395983417634,0
1958,Northern Ireland,0.10892722637389608,0
1958,England,0.06352469101715122,0
1958,Scotland,0.032361417930674694,0
1958,Brazil,0.022037508038361565,1
1958,Sweden,0.014019324028370335,0
1958,France,0.007477265994821142,0
1958,Hungary,0.006297250850783762,0
1958,Paraguay,0.002713555764047597,0
1958,Serbia,0.002133691918440187,0
1958,Austria,0.002066668132067774,0
1958,Mexico,0.0020582430965314685,0
1962,Brazil,0.9795614077542762,1
1962,Germany,0.7954923144076969,0
1962,Argentina,0.32764369253098163,0
1962,Uruguay,0.29103637274181626,0
1962,Italy,0.14768312408958006,0
1962,Chile,0.13857909252789258,0
1962,England,0.10986256409765488,0
1962,Czech Republic,0.09067815462644474,0
1962,Spain,0.0658908048373665,0
1962,Colombia,0.029506089556919902,0
1962,Serbia,0.017442918663644905,0
1962,Hungary,0.01408796468716591,0
1962,Bulgaria,0.01192203154203626,0
1962,Switzerland,0.007274583240286653,0
1962,Mexico,0.0024167957855031536,0
1966,Brazil,0.8844984124737775,0
1966,Portugal,0.3144888935876805,0
1966,Argentina,0.10445390879977073,0
1966,Germany,0.05412633376695545,0
1966,Italy,0.0290017460370138,0
1966,England,0.02793092581584253,1
1966,Spain,0.01675273156431291,0
1966,Russia,0.01405636549991057,0
1966,Hungary,0.006350389364829713,0
1966,Mexico,0.003682510174097296,0
1966,Chile,0.003079742125339213,0
1966,North Korea,0.002145226431773431,0
1966,Bulgaria,0.0014279136161907363,0
1966,France,0.0006948541648177715,0
1966,Switzerland,0.0001093929564521673,0
1966,Uruguay,3.1995059660388386e-05,0
1970,Brazil,0.9957008672275343,1
1970,England,0.9494542312183699,0
1970,Germany,0.2548139011524244,0
1970,Uruguay,0.15684006364266845,0
1970,Morocco,0.13181320734991891,0
1970,Italy,0.11333470391982423,0
1970,Peru,0.055970475058280816,0
1970,Romania,0.022907365471458864,0
1970,Mexico,0.021343496403249167,0
1970,Sweden,0.010729211849995146,0
1970,Russia,0.006437777559237463,0
1970,Belgium,0.004080882098048122,0
1970,Czech Republic,0.0032231055325362768,0
1970,El Salvador,0.0031721271733494718,0
1970,Israel,0.001913381798077932,0
1970,Bulgaria,0.0004227822320429621,0
1974,Germany,0.25023890286825895,1
1974,Poland,0.08666294445486696,0
1974,Netherlands,0.051136084387432716,0
1974,Brazil,0.04349019135866115,0
1974,Argentina,0.026260666042108527,0
1974,Serbia,0.008684252847611875,0
1974,Haiti,0.0009264417331296087,0
1974,Italy,0.0008835991289388771,0
1974,DR Congo,0.0005237995963134696,0
1974,East Germany,0.0004742859517430211,0
1974,Bulgaria,0.00045007491906378863,0
1974,Sweden,0.00017763493348108228,0
1974,Australia,0.00012364732080756395,0
1974,Scotland,8.614652586034878e-05,0
1974,Chile,6.62974799626381e-06,0
1978,Italy,0.9999999987552521,0
1978,Argentina,0.7782401728861456,1
1978,Germany,0.05609326503147872,0
1978,Brazil,0.017347848171763762,0
1978,Spain,0.011010081022868903,0
1978,Netherlands,0.010180833905288934,0
1978,Poland,0.008289454104565937,0
1978,Peru,0.0017819719340242655,0
1978,Mexico,0.0011777554718039322,0
1978,Iran,0.0011533588169505657,0
1978,Tunisia,0.00105676949969055,0
1978,France,0.0008133255044558486,0
1978,Sweden,0.00022209565999254462,0
1978,Hungary,0.0001594283512056593,0
1978,Scotland,2.023182344960006e-07,0
1982,Brazil,0.8745789869146718,0
